,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
1187,"frozenset({'call_depth_median', 'global_nesting_depth_median_neg', 'trace_length_median'})",frozenset({'KLEE_data'}),0.066666667,0.675,0.058333333,0.875,1.296296296,0.013333333,2.6
1094,"frozenset({'trace_length_median', 'call_depth_max', 'call_depth_median'})",frozenset({'KLEE_data'}),0.25,0.675,0.216666667,0.866666667,1.283950617,0.047916667,2.4375
316,"frozenset({'call_depth_max', 'trace_length_median'})",frozenset({'KLEE_data'}),0.25,0.675,0.216666667,0.866666667,1.283950617,0.047916667,2.4375
407,"frozenset({'trace_length_max_neg', 'global_nesting_depth_median'})",frozenset({'KLEE_data'}),0.058333333,0.675,0.05,0.857142857,1.26984127,0.010625,2.275
1762,"frozenset({'trace_length_max', 'call_depth_max', 'call_depth_median', 'trace_length_median'})",frozenset({'KLEE_data'}),0.216666667,0.675,0.183333333,0.846153846,1.253561254,0.037083333,2.1125
1681,"frozenset({'trace_length_max', 'global_nesting_depth_max', 'call_depth_median', 'global_nesting_depth_median'})",frozenset({'KLEE_data'}),0.108333333,0.675,0.091666667,0.846153846,1.253561254,0.018541667,2.1125
154,"frozenset({'trace_length_max', 'call_depth_max'})",frozenset({'KLEE_data'}),0.216666667,0.675,0.183333333,0.846153846,1.253561254,0.037083333,2.1125
892,"frozenset({'trace_length_max', 'call_depth_median', 'global_nesting_depth_median'})",frozenset({'KLEE_data'}),0.108333333,0.675,0.091666667,0.846153846,1.253561254,0.018541667,2.1125
749,"frozenset({'trace_length_max', 'call_depth_max', 'trace_length_median'})",frozenset({'KLEE_data'}),0.216666667,0.675,0.183333333,0.846153846,1.253561254,0.037083333,2.1125
788,"frozenset({'trace_length_max', 'call_depth_max', 'call_depth_median'})",frozenset({'KLEE_data'}),0.216666667,0.675,0.183333333,0.846153846,1.253561254,0.037083333,2.1125
